//HSK 3.0 (2026)/HSK1
爱,ai4
法律,fa3 lu:4
烦,fan2
反对,fan3 dui4
房东,fang2 dong1
方面,fang1 mian4
放弃,fang4 qi4
方式,fang1 shi4
放松,fang4 song1
房租,fang2 zu1
烦恼,fan2 nao3
翻译,fan1 yi4
发送,fa1 song4
费,fei4
费用,fei4 yong4
份,fen4
丰富,feng1 fu4
风景,feng1 jing3
分数,fen1 shu4
分为
否则,fou3 ze2
幅,fu2
付,fu4
符合,fu2 he2
父母,fu4 mu3
父女
父亲,fu4 qin1
复印,fu4 yin4
复杂,fu4 za2
负责,fu4 ze2
负责人,fu4 ze2 ren2
父子
改,gai3
改变,gai3 bian4
赶,gan3
敢,gan3
感,gan3
干,gan1
干杯,gan1 bei1
感动,gan3 dong4
钢琴,gang1 qin2
干活儿,gan4 huo2 r5
赶紧,gan3 jin3
感觉,gan3 jue2
赶快,gan3 kuai4
感情,gan3 qing2
感人
赶上,gan3 shang4
感受,gan3 shou4
感谢,gan3 xie4
高价,gao1 jia4
高考,gao1 kao3
高速,gao1 su4
高温,gao1 wen1
高于
各,ge4
胳膊,ge1 bo5
各地,ge4 di4
各个,ge4 ge5
更加,geng4 jia1
歌声
歌手,ge1 shou3
各位,ge4 wei4
各种,ge4 zhong3
共,gong4
工厂,gong1 chang3
功夫,gong1 fu5
公共,gong1 gong4
功课,gong1 ke4
公里,gong1 li3
公路,gong1 lu4
工人,gong1 ren2
共同,gong4 tong2
工资,gong1 zi1
够,gou4
购买,gou4 mai3
购物,gou4 wu4
挂,gua4
管,guan3
逛,guang4
光,guang1
广播,guang3 bo1
广告,guang3 gao4
关键,guan1 jian4
观看,guan1 kan4
管理,guan3 li3
观众,guan1 zhong4
规定,gui1 ding4
估计,gu1 ji4
顾客,gu4 ke4
鼓励,gu3 li4
姑娘,gu1 niang5
过程,guo4 cheng2
国籍,guo2 ji2
国际,guo2 ji4
果汁,guo3 zhi1
故意,gu4 yi4
害羞,hai4 xiu1
海洋,hai3 yang2
汗,han4
喊,han3
航班,hang2 ban1
寒假,han2 jia4
寒冷,han2 leng3
好处,hao3 chu5
好好,hao3 hao3
好笑,hao3 xiao4
合格,he2 ge2
盒子,he2 zi5
红包,hong2 bao1
厚,hou4
后悔,hou4 hui3
坏处,huai4 chu5
怀疑,huai2 yi2
话剧,hua4 ju4
环保
换乘
回复,hui2 fu4
回信,hui2 xin4
回忆,hui2 yi4
会员,hui4 yuan2
互联网,hu4 lian2 wang3
活,huo2
货,huo4
火,huo3
获得,huo4 de2
活动,huo2 dong4
获奖
活泼,huo2 po5
获取,huo4 qu3
忽然,hu1 ran2
护士,hu4 shi5
互相,hu4 xiang1
既,ji4
寄,ji4
假,jia3
加班,jia1 ban1
价格,jia4 ge2
家具,jia1 ju4
加快,jia1 kuai4
减,jian3
降,jiang4
奖,jiang3
江,jiang1
将,jiang1
降低,jiang4 di1
降价,jiang4 jia4
奖金,jiang3 jin1
将来,jiang1 lai2
降落,jiang4 luo4
降温
奖学金,jiang3 xue2 jin1
将要,jiang1 yao4
减轻,jian3 qing1
减少,jian3 shao3
健身,jian4 shen1
健身房
建议,jian4 yi4
交,jiao1
骄傲,jiao1 ao4
交警
教练,jiao4 lian4
交流,jiao1 liu2
郊区,jiao1 qu1
教师,jiao4 shi1
教授,jiao4 shou4
交通,jiao1 tong1
教学,jiao4 xue2
教育,jiao4 yu4
叫作
价钱,jia4 qian5
加强,jia1 qiang2
假日,jia4 ri4
加入,jia1 ru4
加上,jia1 shang4
家庭,jia1 ting2
家乡,jia1 xiang1
加油,jia1 you2
加油站,jia1 you2 zhan4
家长,jia1 zhang3
基本,ji1 ben3
基本上,ji1 ben3 shang5
基础,ji1 chu3
激动,ji1 dong4
街道,jie1 dao4
结果,jie2 guo3
节假日
解释,jie3 shi4
接受,jie1 shou4
节约,jie2 yue1
结账
接着,jie1 zhe5
